Company_Name,Year,Revenue_Increase_Rate,Operating_Income(added)_Increase_Rate,Net_Income(added)_Increase_Rate,Revenue_Profit_Status,Operating_Income(added)_Profit_Status,Net_Income(added)_Profit_Status,Debt_Equity_Ratio,ROA,ROE,EPS,PER,Current_Stock,Future_Stock
삼성카드,2018,,,,,,,,,,,,"{'Low': 34000, 'High': 34950, 'Close': 34550}","{'Low': 38100, 'High': 38950, 'Close': 38600}"
삼성카드,2019,,,,,,,,,,,,"{'Low': 38100, 'High': 38950, 'Close': 38600}","{'Low': 32000, 'High': 33050, 'Close': 32500}"
삼성카드,2020,,,,,,,,,,,,"{'Low': 32000, 'High': 33050, 'Close': 32500}","{'Low': 31400, 'High': 31850, 'Close': 31500}"
삼성카드,2021,,,,,,,,,,,,"{'Low': 31400, 'High': 31850, 'Close': 31500}","{'Low': 29550, 'High': 30150, 'Close': 29550}"
삼성카드,2022,,,,,,,,,,,,"{'Low': 29550, 'High': 30150, 'Close': 29550}",0
HD현대일렉트릭,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,930.0,53.07,"{'Low': 47192, 'High': 50006, 'Close': 49357}","{'Low': 18900, 'High': 19547, 'Close': 19159}"
HD현대일렉트릭,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,L_Turned,L_Turned,26.61,14.98,18.97,-8812.0,-2.17,"{'Low': 18900, 'High': 19547, 'Close': 19159}","{'Low': 10400, 'High': 11800, 'Close': 11550}"
HD현대일렉트릭,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,L_Contd,L_Contd,21.54,7.1,8.63,-12961.0,-0.89,"{'Low': 10400, 'High': 11800, 'Close': 11550}","{'Low': 15850, 'High': 16600, 'Close': 16400}"
HD현대일렉트릭,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Turned,L_Contd,25.28,6.8,8.52,-1118.0,-14.67,"{'Low': 15850, 'High': 16600, 'Close': 16400}","{'Low': 19850, 'High': 20300, 'Close': 19900}"
HD현대일렉트릭,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,L_Contd,29.98,12.33,16.03,-936.0,-21.26,"{'Low': 19850, 'High': 20300, 'Close': 19900}","{'Low': 42200, 'High': 44000, 'Close': 42500}"
HD현대일렉트릭,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Turned,24.19,9.77,12.14,4514.0,9.42,"{'Low': 42200, 'High': 44000, 'Close': 42500}",0
오리온,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,1912.0,54.65,"{'Low': 103500, 'High': 105500, 'Close': 104500}","{'Low': 113000, 'High': 120000, 'Close': 120000}"
